ExtremeAbsMode1-Value,ExtremeAbsMode1-freq,ExtremeAbsMode2-Value,ExtremeAbsMode2-freq,ExtremeAbsMode3-Value,ExtremeAbsMode3-freq,ExtremeAbsMode4-Value,ExtremeAbsMode4-freq,ExtremeAbsMode5-Value,ExtremeAbsMode5-freq,ExtremeDiffMode1-Value,ExtremeDiffMode1-freq,ExtremeDiffMode2-Value,ExtremeDiffMode2-freq,ExtremeDiffMode3-Value,ExtremeDiffMode3-freq,ExtremeDiffMode4-Value,ExtremeDiffMode4-freq,ExtremeDiffMode5-Value,ExtremeDiffMode5-freq,ExtremeTrendMode1-Value,ExtremeTrendMode1-freq,ExtremeTrendMode2-Value,ExtremeTrendMode2-freq,ExtremeTrendMode3-Value,ExtremeTrendMode3-freq,ExtremeTrendMode4-Value,ExtremeTrendMode4-freq,ExtremeTrendMode5-Value,ExtremeTrendMode5-freq,ExtremePowerMode1-Value,ExtremePowerMode1-freq,ExtremePowerMode2-Value,ExtremePowerMode2-freq,ExtremePowerMode3-Value,ExtremePowerMode3-freq,ExtremePowerMode4-Value,ExtremePowerMode4-freq,ExtremePowerMode5-Value,ExtremePowerMode5-freq,ExtremePower2Mode1-Value,ExtremePower2Mode1-freq,ExtremePower2Mode2-Value,ExtremePower2Mode2-freq,ExtremePower2Mode3-Value,ExtremePower2Mode3-freq,ExtremePower2Mode4-Value,ExtremePower2Mode4-freq,ExtremePower2Mode5-Value,ExtremePower2Mode5-freq,ExpertResult
 0.080, 2.183, 0.059, 0.803, 0.054, 0.753, 0.046, 0.878, 0.043, 0.979, 0.067, 2.183, 0.031, 0.803, 0.030, 0.753, 0.029, 1.581, 0.029, 0.979, 0.080, 2.183, 0.059, 0.803, 0.054, 0.753, 0.046, 0.878, 0.043, 0.979, 0.198, 2.183, 0.089, 0.753, 0.088, 1.581, 0.083, 0.803, 0.076, 0.878, 0.285, 2.183, 0.218, 0.753, 0.173, 0.878, 0.169, 0.803, 0.142, 1.581,7
 0.206, 0.728, 0.159, 1.205, 0.159, 0.627, 0.157, 1.054, 0.120, 2.711, 0.150, 0.728, 0.119, 1.054, 0.117, 1.205, 0.107, 2.711, 0.074, 2.836, 0.206, 0.728, 0.159, 1.205, 0.159, 0.627, 0.157, 1.054, 0.120, 2.711, 0.419, 0.728, 0.340, 2.711, 0.330, 1.205, 0.231, 1.054, 0.164, 2.836, 0.687, 0.728, 0.580, 1.205, 0.433, 0.627, 0.411, 2.711, 0.409, 1.054,7
 0.149, 1.682, 0.140, 2.183, 0.122, 2.259, 0.120, 0.904, 0.108, 0.703, 0.124, 1.682, 0.081, 0.703, 0.074, 2.183, 0.070, 2.259, 0.056, 1.205, 0.149, 1.682, 0.140, 2.183, 0.122, 2.259, 0.120, 0.904, 0.108, 0.703, 0.321, 0.703, 0.282, 2.259, 0.265, 1.205, 0.199, 1.682, 0.186, 2.183, 0.456, 0.703, 0.416, 2.259, 0.412, 1.205, 0.411, 2.183, 0.325, 0.904,7
 0.118, 2.460, 0.107, 2.660, 0.090, 2.384, 0.073, 0.853, 0.072, 0.979, 0.079, 2.460, 0.071, 2.660, 0.051, 1.682, 0.040, 0.979, 0.038, 2.861, 0.118, 2.460, 0.107, 2.660, 0.090, 2.384, 0.073, 0.853, 0.072, 0.979, 0.220, 2.460, 0.194, 2.660, 0.149, 1.682, 0.087, 0.853, 0.075, 0.979, 0.337, 2.660, 0.296, 0.853, 0.284, 1.682, 0.280, 2.460, 0.243, 1.079,7
 0.167, 2.284, 0.158, 2.409, 0.137, 0.778, 0.127, 2.033, 0.124, 0.853, 0.111, 2.284, 0.100, 2.409, 0.095, 0.778, 0.093, 2.033, 0.091, 0.853, 0.167, 2.284, 0.158, 2.409, 0.137, 0.778, 0.127, 2.033, 0.124, 0.853, 0.325, 2.409, 0.239, 2.284, 0.215, 0.853, 0.182, 0.778, 0.150, 2.033, 0.602, 2.409, 0.423, 2.284, 0.366, 0.778, 0.301, 0.853, 0.298, 2.033,7
 0.067, 0.627, 0.058, 0.878, 0.054, 0.728, 0.041, 1.330, 0.038, 1.029, 0.047, 0.878, 0.038, 0.627, 0.038, 0.728, 0.023, 1.029, 0.023, 1.330, 0.067, 0.627, 0.058, 0.878, 0.054, 0.728, 0.041, 1.330, 0.038, 1.029, 0.193, 0.878, 0.115, 0.627, 0.108, 1.029, 0.087, 0.728, 0.054, 1.079, 0.232, 0.878, 0.185, 0.627, 0.158, 0.728, 0.135, 1.029, 0.127, 1.180,4
 0.075, 0.678, 0.068, 0.602, 0.055, 1.004, 0.052, 0.954, 0.045, 1.104, 0.052, 0.678, 0.031, 0.602, 0.029, 0.954, 0.026, 1.104, 0.026, 1.004, 0.075, 0.678, 0.068, 0.602, 0.055, 1.004, 0.052, 0.954, 0.045, 1.104, 0.106, 0.954, 0.097, 1.004, 0.091, 0.678, 0.066, 0.602, 0.052, 1.104, 0.219, 0.678, 0.174, 1.004, 0.151, 0.954, 0.141, 1.104, 0.138, 0.602,4
 0.022, 1.531, 0.021, 1.355, 0.021, 0.678, 0.021, 0.728, 0.019, 0.778, 0.016, 1.531, 0.011, 0.678, 0.011, 1.355, 0.009, 1.782, 0.008, 1.129, 0.022, 1.531, 0.021, 1.355, 0.021, 0.678, 0.021, 0.728, 0.019, 0.778, 0.048, 0.678, 0.047, 1.531, 0.025, 0.979, 0.019, 1.782, 0.018, 1.129, 0.091, 1.531, 0.074, 0.678, 0.067, 0.778, 0.056, 0.728, 0.052, 1.431,4
 0.016, 0.653, 0.016, 0.753, 0.014, 3.112, 0.013, 0.954, 0.012, 0.853, 0.009, 3.112, 0.008, 1.682, 0.007, 0.954, 0.006, 0.753, 0.005, 0.653, 0.016, 0.653, 0.016, 0.753, 0.014, 3.112, 0.013, 0.954, 0.012, 0.853, 0.025, 3.112, 0.024, 0.853, 0.021, 1.682, 0.020, 0.954, 0.018, 1.054, 0.060, 0.653, 0.051, 0.954, 0.050, 3.112, 0.050, 0.853, 0.046, 0.753,4
 0.010, 0.728, 0.007, 0.653, 0.006, 1.079, 0.006, 0.828, 0.005, 0.929, 0.004, 0.728, 0.004, 1.531, 0.004, 2.761, 0.003, 2.485, 0.003, 0.653, 0.010, 0.728, 0.007, 0.653, 0.006, 1.079, 0.006, 0.828, 0.005, 0.929, 0.016, 1.531, 0.012, 3.187, 0.010, 2.761, 0.010, 0.728, 0.010, 1.757, 0.034, 0.728, 0.028, 1.531, 0.023, 0.828, 0.021, 0.653, 0.020, 0.929,4
 0.027, 0.627, 0.016, 0.778, 0.015, 0.979, 0.013, 0.929,0,0, 0.015, 0.627, 0.009, 0.778, 0.005, 0.979, 0.005, 0.929,0,0, 0.027, 0.627, 0.016, 0.778, 0.015, 0.979, 0.013, 0.929,0,0, 0.064, 0.627, 0.024, 0.778,0,0,0,0,0,0, 0.107, 0.627, 0.076, 0.778, 0.049, 0.979, 0.031, 0.929,0,0,4
 1.000, 0.627, 0.838, 0.703, 0.706, 0.904, 0.589, 1.004, 0.526, 1.180, 0.173, 0.703, 0.143, 0.904, 0.129, 0.627, 0.114, 1.180, 0.083, 1.004, 1.000, 0.627, 0.838, 0.703, 0.706, 0.904, 0.589, 1.004, 0.526, 1.180, 1.090, 0.703, 0.435, 0.627, 0.434, 0.904, 0.429, 1.180, 0.274, 1.004, 5.842, 0.703, 3.704, 0.627, 3.121, 0.904, 2.728, 1.180, 2.693, 1.004,4
 0.018, 0.678, 0.016, 0.904, 0.015, 3.363, 0.011, 2.058, 0.010, 2.460, 0.012, 0.678, 0.011, 0.904, 0.011, 3.363, 0.007, 1.857, 0.007, 1.707, 0.018, 0.678, 0.016, 0.904, 0.015, 3.363, 0.011, 2.058, 0.010, 2.460, 0.038, 0.678, 0.033, 1.707, 0.025, 0.904, 0.022, 1.857, 0.020, 3.363, 0.066, 0.678, 0.044, 1.707, 0.041, 3.363, 0.035, 3.740, 0.035, 0.904,3
 0.021, 0.602, 0.020, 4.618, 0.017, 0.728, 0.015, 1.405, 0.014, 3.790, 0.014, 0.728, 0.012, 0.602, 0.011, 4.618, 0.009, 3.790, 0.009, 1.405, 0.021, 0.602, 0.020, 4.618, 0.017, 0.728, 0.015, 1.405, 0.014, 3.790, 0.046, 0.728, 0.038, 1.405, 0.030, 0.602, 0.028, 3.790, 0.022, 4.618, 0.063, 1.405, 0.060, 0.728, 0.049, 4.618, 0.046, 0.602, 0.040, 4.568,3
 0.048, 0.602, 0.029, 0.678, 0.028, 1.707,0,0,0,0, 0.024, 0.602, 0.022, 1.707, 0.019, 0.678,0,0,0,0, 0.048, 0.602, 0.029, 0.678, 0.028, 1.707,0,0,0,0, 0.080, 1.280, 0.050, 0.678, 0.038, 1.707, 0.038, 2.911, 0.035, 2.811, 0.099, 1.280, 0.090, 0.828, 0.089, 0.678, 0.068, 0.979, 0.061, 0.602,3
 0.032, 0.954, 0.029, 0.653, 0.027, 0.753, 0.025, 1.104, 0.025, 0.853, 0.022, 0.954, 0.018, 0.753, 0.017, 0.653, 0.015, 3.238, 0.013, 2.736, 0.032, 0.954, 0.029, 0.653, 0.027, 0.753, 0.025, 1.104, 0.025, 0.853, 0.056, 2.736, 0.043, 0.753, 0.041, 0.954, 0.037, 3.238, 0.036, 1.154, 0.094, 0.853, 0.085, 0.753, 0.076, 0.954, 0.073, 2.736, 0.072, 1.154,3
 0.016, 1.079, 0.015, 0.627, 0.015, 1.280, 0.014, 4.166, 0.013, 0.778, 0.011, 1.079, 0.009, 4.166, 0.008, 3.313, 0.008, 2.610, 0.007, 2.183, 0.016, 1.079, 0.015, 0.627, 0.015, 1.280, 0.014, 4.166, 0.013, 0.778, 0.035, 1.079, 0.020, 2.183, 0.019, 0.778, 0.019, 4.166, 0.019, 1.230, 0.053, 1.079, 0.051, 0.929, 0.049, 1.330, 0.049, 0.778, 0.044, 4.166,3
 1.000, 2.222, 0.820, 2.515, 0.792, 2.271, 0.737, 2.417, 0.633, 1.880, 0.856, 2.222, 0.610, 2.515, 0.579, 2.271, 0.460, 2.417, 0.459, 2.124, 1.000, 2.222, 0.820, 2.515, 0.792, 2.271, 0.737, 2.417, 0.633, 1.880, 2.900, 2.515, 2.022, 2.271, 1.655, 2.124, 0.925, 2.417, 0.871, 2.222, 4.385, 2.515, 2.857, 2.271, 2.078, 2.124, 1.956, 2.417, 1.410, 2.783,6
